"AssetClass","Symbol","DateTime","Quantity","Proceeds","IBCommission","NetCash","OrigTradePrice","Buy/Sell"
"FUT","MESH6","2026-02-02;095125","-1","34930","-0.62","-83.12","0","SELL"
"FUT","MESH6","2026-02-02;095906","1","-34860","-0.62","151.88","0","BUY"
"FUT","MESH6","2026-02-02;101632","-1","34982.5","-0.62","-30.62","0","SELL"
"FUT","MESH6","2026-02-02;101738","1","-34997.5","-0.62","14.38","0","BUY"
"FUT","MESH6","2026-02-02;101829","-1","34993.75","-0.62","-19.37","0","SELL"
"FUT","MESH6","2026-02-02;101900","1","-34993.75","-0.62","18.13","0","BUY"
"FUT","MESH6","2026-02-02;104308","-1","34991.25","-0.62","-21.87","0","SELL"
"FUT","MESH6","2026-02-02;104351","1","-34993.75","-0.62","18.13","0","BUY"
"FUT","MESH6","2026-02-02;104516","-1","34985","-0.62","-28.12","0","SELL"
"FUT","MESH6","2026-02-02;104615","1","-34978.75","-0.62","33.13","0","BUY"
"FUT","MESH6","2026-02-03;093934","-1","35020","-0.62","310.63","0","SELL"
"FUT","MESH6","2026-02-03;095938","1","-34912.5","-0.62","-204.37","0","BUY"
"FUT","MESH6","2026-02-03;100943","1","-34873.75","-0.62","-165.62","0","BUY"
"FUT","MESH6","2026-02-03;101044","-1","34878.75","-0.62","169.38","0","SELL"
"FUT","MESH6","2026-02-03;101101","-1","34867.5","-0.62","158.13","0","SELL"
"FUT","MESH6","2026-02-03;101130","1","-34861.25","-0.62","-153.12","0","BUY"
"FUT","MESH6","2026-02-03;101317","-1","34835","-0.62","125.63","0","SELL"
"FUT","MESH6","2026-02-03;101456","1","-34830","-0.62","-121.87","0","BUY"
"FUT","MESH6","2026-02-03;101505","1","-34835","-0.62","-126.87","0","BUY"
"FUT","MESH6","2026-02-03;101526","-1","34827.5","-0.62","118.13","0","SELL"
"FUT","MESH6","2026-02-04;093601","1","-34750","-0.62","-219.37","0","BUY"
"FUT","MESH6","2026-02-04;093620","-1","34765","-0.62","233.13","0","SELL"
"FUT","MESH6","2026-02-04;093728","1","-34745","-0.62","-214.37","0","BUY"
"FUT","MESH6","2026-02-04;093811","-1","34737.5","-0.62","205.63","0","SELL"
"FUT","MESH6","2026-02-04;094253","-1","34777.5","-0.62","245.63","0","SELL"
"FUT","MESH6","2026-02-04;094400","1","-34760","-0.62","-229.37","0","BUY"
"FUT","MESH6","2026-02-04;095721","-1","34663.75","-0.62","131.88","0","SELL"
"FUT","MESH6","2026-02-04;095854","1","-34630","-0.62","-99.37","0","BUY"
"FUT","MESH6","2026-02-04;100338","-1","34586.25","-0.62","54.38","0","SELL"
"FUT","MESH6","2026-02-04;100735","1","-34636.25","-0.62","-105.62","0","BUY"
"FUT","MESH6","2026-02-04;101051","-1","34656.25","-0.62","124.38","0","SELL"
"FUT","MESH6","2026-02-04;103557","1","-34623.75","-0.62","-93.12","0","BUY"
"FUT","MESH6","2026-02-04;103842","1","-34655","-0.62","-124.37","0","BUY"
"FUT","MESH6","2026-02-04;103918","-1","34702.5","-0.62","170.63","0","SELL"
"FUT","MESH6","2026-02-05;092154","-1","34241.25","-0.62","136.88","0","SELL"
"FUT","MESH6","2026-02-05;092157","1","-34237.5","-0.62","-134.37","0","BUY"
"FUT","MESH6","2026-02-05;093215","-1","34160","-0.62","55.63","0","SELL"
"FUT","MESH6","2026-02-05;094224","1","-34331.25","-0.62","-228.12","0","BUY"
"FUT","MESH6","2026-02-05;094231","1","-34343.75","-0.62","-240.62","0","BUY"
"FUT","MESH6","2026-02-05;094419","-1","34380","-0.62","275.63","0","SELL"
